modelo;ID;ITERACAO;PARAM_ATUAL;MPA_ATUAL;PARAM_MELHOR;MPA_MELHOR;Unnamed: 0
log_holts_hill_climb_6m;19;659;10010001001111011110011000011;0.1065967054653865;10010001001111011110011000011;0.1065967054653865;
log_holts_hill_climb_6m;20;51;00010100011111111111100000000;0.1089494021223151;00010100011111111111100000000;0.1089494021223151;
log_holts_hill_climb_6m;21;490;00010010010100010101010100010;0.1080777025303336;00010010010100010101010100010;0.1080777025303336;
log_holts_hill_climb_6m;22;165;00000011011100000001000110000;0.1083035328909871;00000011011100000001000110000;0.1083035328909871;
log_holts_hill_climb_6m;23;160;10010010001111111100010000111;0.106933788297497;10010010001111111100010000111;0.106933788297497;
log_holts_hill_climb_6m;24;923;00010100011111111101110000100;0.1089494021223151;00010100011111111101110000100;0.1089494021223151;
log_holts_simulated_annealing_12m;0;205;11010011111111111101111111111;0.1327091486126263;11010011111111111101111111111;0.1327091486126263;228.0
log_holts_simulated_annealing_12m;1;57;00010000010110000001110010111;0.1312166101494526;00010000010110000001110010111;0.1312166101494526;1079.0
log_holts_simulated_annealing_12m;2;44;00000001010110000001000111110;0.1297571558646118;00000001010110000001000111110;0.1297571558646118;2065.0
log_holts_simulated_annealing_12m;3;163;00000110110101001001111101110;0.1297711044834772;00000110110101001001111101110;0.1297711044834772;3183.0
log_holts_simulated_annealing_12m;4;149;11010011101111111101111111110;0.1327091486126263;11010011101111111101111111110;0.1327091486126263;4168.0
log_holts_simulated_annealing_12m;5;105;11010011101111111100111111111;0.1327091486126263;11010011101111111100111111111;0.1327091486126263;5123.0
log_holts_simulated_annealing_12m;6;17;00001011111000111111001010100;0.1299050681518214;00001011111000111111001010100;0.1299050681518214;6034.0
log_holts_simulated_annealing_12m;7;66;10010000001000111100000110010;0.1303514447456061;10010000001000111100000110010;0.1303514447456061;7082.0
log_holts_simulated_annealing_12m;8;108;01010100010000000000000010100;0.1328688395417359;01010100010000000000000010100;0.1328688395417359;8123.0
log_holts_simulated_annealing_12m;9;34;01010100010000011110000000000;0.1328688395417359;01010100010000011110000000000;0.1328688395417359;9048.0
log_holts_simulated_annealing_12m;10;39;10000011011001010010001101110;0.1298203229212329;10000011011001010010001101110;0.1298203229212329;10052.0
log_holts_simulated_annealing_12m;11;340;11010011111111111111111111111;0.1327091486126263;11010011111111111111111111111;0.1327091486126263;11352.0
log_holts_simulated_annealing_12m;12;66;00010000001000011100101001100;0.1303924358820107;00010000001000011100101001100;0.1303924358820107;12077.0
log_holts_simulated_annealing_12m;13;328;10010010111000001000000010010;0.131553327503223;10010010111000001000000010010;0.131553327503223;13338.0
log_holts_simulated_annealing_12m;14;66;01010100000000000001011000000;0.1328688395417359;01010100000000000001011000000;0.1328688395417359;14075.0
log_holts_simulated_annealing_12m;15;508;00100000000011000010101011000;0.1430568894694421;00100000000011000010101011000;0.1430568894694421;15516.0
log_holts_simulated_annealing_12m;16;48;00010000010000001111110110101;0.1320202990567315;00010000010000001111110110101;0.1320202990567315;16055.0
log_holts_simulated_annealing_12m;17;86;00000110110101001011111100011;0.1297711044834772;00000110110101001011111100011;0.1297711044834772;17092.0
log_holts_simulated_annealing_12m;18;57;01100000000000000001000000011;0.1566037790755009;01100000000000000001000000011;0.1566037790755009;18062.0
log_holts_simulated_annealing_12m;19;343;00010100010101111010110011000;0.1326381983971284;00010100010101111010110011000;0.1326381983971284;19347.0
log_holts_simulated_annealing_12m;20;110;10001010001011000100000110001;0.1296527507988703;10001010001011000100000110001;0.1296527507988703;20113.0
log_holts_simulated_annealing_12m;21;40;00001100101000000111001110101;0.1297542600912713;00001100101000000111001110101;0.1297542600912713;21042.0
log_holts_simulated_annealing_12m;22;137;11010100001000000100000000001;0.1328688395417359;11010100001000000100000000001;0.1328688395417359;22138.0
log_holts_simulated_annealing_12m;23;40;01010100011010000010000000000;0.1328688395417359;01010100011010000010000000000;0.1328688395417359;23040.0
log_holts_simulated_annealing_12m;24;152;11010011111111111110111111110;0.1327091486126263;11010011111111111110111111110;0.1327091486126263;24151.0
log_holts_simulated_annealing_1m;0;204;11111111101111111100111111110;0.0038283975047382;11111111101111111100111111110;0.0038283975047382;
