;0;1;2;3
457;F2;10110101011001000001111100;After fitting;11.522950100000344
458;P1;10110101011001000001111100;Done;
459;P2;10110101011001000001111100;Done;
460;C;10111001011001000001111100;Creating SARIMAX;
461;F1;10111001011001000001111100;Before fitting;
462;F2;10111001011001000001111100;After fitting;2.7067174000003433
463;P1;10111001011001000001111100;Done;
464;P2;10111001011001000001111100;Done;
465;C;10110101011001000001111101;Creating SARIMAX;
466;F1;10110101011001000001111101;Before fitting;
467;F2;10110101011001000001111101;After fitting;11.797158500000023
468;P1;10110101011001000001111101;Done;
469;P2;10110101011001000001111101;Done;
470;C;10110101011001000001111101;Creating SARIMAX;
471;F1;10110101011001000001111101;Before fitting;
472;F2;10110101011001000001111101;After fitting;12.148589599999923
473;P1;10110101011001000001111101;Done;
474;P2;10110101011001000001111101;Done;
475;C;10110101011001000001111101;Creating SARIMAX;
476;F1;10110101011001000001111101;Before fitting;
477;F2;10110101011001000001111101;After fitting;11.599785599999905
478;P1;10110101011001000001111101;Done;
479;P2;10110101011001000001111101;Done;
480;C;10100101011001000001111101;Creating SARIMAX;
481;F1;10100101011001000001111101;Before fitting;
482;F2;10100101011001000001111101;After fitting;7.857062799999767
483;P1;10100101011001000001111101;Done;
484;P2;10100101011001000001111101;Done;
485;C;10100101011001000001111101;Creating SARIMAX;
486;F1;10100101011001000001111101;Before fitting;
487;F2;10100101011001000001111101;After fitting;7.801153700000214
488;P1;10100101011001000001111101;Done;
489;P2;10100101011001000001111101;Done;
490;C;10100101011001000001111101;Creating SARIMAX;
491;F1;10100101011001000001111101;Before fitting;
492;F2;10100101011001000001111101;After fitting;7.790005800000017
493;P1;10100101011001000001111101;Done;
494;P2;10100101011001000001111101;Done;
495;C;10100101011001000001111101;Creating SARIMAX;
496;F1;10100101011001000001111101;Before fitting;
497;F2;10100101011001000001111101;After fitting;7.871798399999989
498;P1;10100101011001000001111101;Done;
499;P2;10100101011001000001111101;Done;
500;C;10100101011001000001111101;Creating SARIMAX;
501;F1;10100101011001000001111101;Before fitting;
502;F2;10100101011001000001111101;After fitting;7.802758399999675
503;P1;10100101011001000001111101;Done;
504;P2;10100101011001000001111101;Done;
505;C;10100111011001000001111101;Creating SARIMAX;
506;F1;10100111011001000001111101;Before fitting;
507;F2;10100111011001000001111101;After fitting;13.158141800000067
508;P1;10100111011001000001111101;Done;
509;P2;10100111011001000001111101;Done;
510;C;11100100010001000001111101;Creating SARIMAX;
511;F1;11100100010001000001111101;Before fitting;
512;F2;11100100010001000001111101;After fitting;5.455214999999953
513;P1;11100100010001000001111101;Done;
514;P2;11100100010001000001111101;Done;
515;C;10100101011001000001111001;Creating SARIMAX;
516;F1;10100101011001000001111001;Before fitting;
517;F2;10100101011001000001111001;After fitting;0.28522479999992356
518;P1;10100101011001000001111001;Done;
519;P2;10100101011001000001111001;Done;
520;C;10100101011001000001111111;Creating SARIMAX;
521;F1;10100101011001000001111111;Before fitting;
522;F2;10100101011001000001111111;After fitting;3.1647492000001876
523;P1;10100101011001000001111111;Done;
524;P2;10100101011001000001111111;Done;
525;C;10100101011101000001111101;Creating SARIMAX;
526;F1;10100101011101000001111101;Before fitting;
527;F2;10100101011101000001111101;After fitting;10.46437160000005
528;P1;10100101011101000001111101;Done;
529;P2;10100101011101000001111101;Done;
530;C;10100111011001000101111001;Creating SARIMAX;
531;F1;10100111011001000101111001;Before fitting;
532;F2;10100111011001000101111001;After fitting;0.2763582999996288
533;P1;10100111011001000101111001;Done;
534;P2;10100111011001000101111001;Done;
535;C;10100101011001000001111101;Creating SARIMAX;
536;F1;10100101011001000001111101;Before fitting;
537;F2;10100101011001000001111101;After fitting;7.822215800000322
538;P1;10100101011001000001111101;Done;
539;P2;10100101011001000001111101;Done;
540;C;11100101011001000001111101;Creating SARIMAX;
541;F1;11100101011001000001111101;Before fitting;
542;F2;11100101011001000001111101;After fitting;14.641527700000097
543;P1;11100101011001000001111101;Done;
544;P2;11100101011001000001111101;Done;
545;C;10100101011001000001111101;Creating SARIMAX;
546;F1;10100101011001000001111101;Before fitting;
547;F2;10100101011001000001111101;After fitting;7.938464599999861
548;P1;10100101011001000001111101;Done;
549;P2;10100101011001000001111101;Done;
550;C;10100101011001000001111101;Creating SARIMAX;
551;F1;10100101011001000001111101;Before fitting;
552;F2;10100101011001000001111101;After fitting;7.78097949999983
553;P1;10100101011001000001111101;Done;
554;P2;10100101011001000001111101;Done;
555;C;00110101011001000001111101;Creating SARIMAX;
556;F1;00110101011001000001111101;Before fitting;
557;F2;00110101011001000001111101;After fitting;4.503689799999847
558;P1;00110101011001000001111101;Done;
559;P2;00110101011001000001111101;Done;
560;C;10101101011001010001111101;Creating SARIMAX;
561;F1;10101101011001010001111101;Before fitting;
562;F2;10101101011001010001111101;After fitting;8.68837220000023
563;P1;10101101011001010001111101;Done;
564;P2;10101101011001010001111101;Done;
565;C;10100101011001000000111001;Creating SARIMAX;
566;F1;10100101011001000000111001;Before fitting;
567;F2;10100101011001000000111001;After fitting;0.21231770000031247
568;P1;10100101011001000000111001;Done;
569;P2;10100101011001000000111001;Done;
570;C;10101101011001000001111101;Creating SARIMAX;
571;F1;10101101011001000001111101;Before fitting;
572;F2;10101101011001000001111101;After fitting;7.751123999999891
573;P1;10101101011001000001111101;Done;
574;P2;10101101011001000001111101;Done;
575;C;10101101011001001001111101;Creating SARIMAX;
576;F1;10101101011001001001111101;Before fitting;
577;F2;10101101011001001001111101;After fitting;7.900849300000118
578;P1;10101101011001001001111101;Done;
579;P2;10101101011001001001111101;Done;
580;C;10101101011001001001110001;Creating SARIMAX;
581;F1;10101101011001001001110001;Before fitting;
582;F2;10101101011001001001110001;After fitting;0.2987588000000869
583;P1;10101101011001001001110001;Done;
584;P2;10101101011001001001110001;Done;
585;C;10101101011001001001111101;Creating SARIMAX;
586;F1;10101101011001001001111101;Before fitting;
587;F2;10101101011001001001111101;After fitting;7.821033499999885
588;P1;10101101011001001001111101;Done;
589;P2;10101101011001001001111101;Done;
590;C;10101101011001001001101101;Creating SARIMAX;
591;F1;10101101011001001001101101;Before fitting;
592;F2;10101101011001001001101101;After fitting;7.857235100000253
593;P1;10101101011001001001101101;Done;
594;P2;10101101011001001001101101;Done;
595;C;10101101011001001001100101;Creating SARIMAX;
596;F1;10101101011001001001100101;Before fitting;
597;F2;10101101011001001001100101;After fitting;7.94843149999997
598;P1;10101101011001001001100101;Done;
599;P2;10101101011001001001100101;Done;
600;C;10101111011001001001100001;Creating SARIMAX;
601;F1;10101111011001001001100001;Before fitting;
602;F2;10101111011001001001100001;After fitting;0.931092499999977
603;P1;10101111011001001001100001;Done;
604;P2;10101111011001001001100001;Done;
605;C;10101101011001001001100101;Creating SARIMAX;
606;F1;10101101011001001001100101;Before fitting;
607;F2;10101101011001001001100101;After fitting;7.919648000000052
608;P1;10101101011001001001100101;Done;
609;P2;10101101011001001001100101;Done;
610;C;10101101011001011001100101;Creating SARIMAX;
611;F1;10101101011001011001100101;Before fitting;
612;F2;10101101011001011001100101;After fitting;8.725016200000027
613;P1;10101101011001011001100101;Done;
614;P2;10101101011001011001100101;Done;
