;0;1;2;3
200;C;01111110011001000000111101;Creating SARIMAX;
201;F1;01111110011001000000111101;Before fitting;
202;F2;01111110011001000000111101;After fitting;8.778513599999997
203;P1;01111110011001000000111101;Done;
204;P2;01111110011001000000111101;Done;
205;C;01111010011001000000110111;Creating SARIMAX;
206;F1;01111010011001000000110111;Before fitting;
207;F2;01111010011001000000110111;After fitting;2.3104025000000092
208;P1;01111010011001000000110111;Done;
209;P2;01111010011001000000110111;Done;
210;C;01111010111000000000110101;Creating SARIMAX;
211;F1;01111010111000000000110101;Before fitting;
212;F2;01111010111000000000110101;After fitting;2.6358869999999968
213;P1;01111010111000000000110101;Done;
214;P2;01111010111000000000110101;Done;
215;C;01111010011001000000110100;Creating SARIMAX;
216;F1;01111010011001000000110100;Before fitting;
217;F2;01111010011001000000110100;After fitting;3.1879458999999883
218;P1;01111010011001000000110100;Done;
219;P2;01111010011001000000110100;Done;
220;C;01111010011001000001110101;Creating SARIMAX;
221;F1;01111010011001000001110101;Before fitting;
222;F2;01111010011001000001110101;After fitting;3.1569537999999966
223;P1;01111010011001000001110101;Done;
224;P2;01111010011001000001110101;Done;
225;C;01111010011001000001110100;Creating SARIMAX;
226;F1;01111010011001000001110100;Before fitting;
227;F2;01111010011001000001110100;After fitting;3.133959400000009
228;P1;01111010011001000001110100;Done;
229;P2;01111010011001000001110100;Done;
230;C;00111010011001000000010100;Creating SARIMAX;
231;F1;00111010011001000000010100;Before fitting;
232;F2;00111010011001000000010100;After fitting;2.3129260000000045
233;P1;00111010011001000000010100;Done;
234;P2;00111010011001000000010100;Done;
235;C;01101010011001000000110100;Creating SARIMAX;
236;F1;01101010011001000000110100;Before fitting;
237;F2;01101010011001000000110100;After fitting;2.7999828000000093
238;P1;01101010011001000000110100;Done;
239;P2;01101010011001000000110100;Done;
240;C;01011010011001000000110100;Creating SARIMAX;
241;F1;01011010011001000000110100;Before fitting;
242;F2;01011010011001000000110100;After fitting;2.966632400000009
243;P1;01011010011001000000110100;Done;
244;P2;01011010011001000000110100;Done;
245;C;01111010011001000000110100;Creating SARIMAX;
246;F1;01111010011001000000110100;Before fitting;
247;F2;01111010011001000000110100;After fitting;3.0267975999999805
248;P1;01111010011001000000110100;Done;
249;P2;01111010011001000000110100;Done;
250;C;01101010011001000100110100;Creating SARIMAX;
251;F1;01101010011001000100110100;Before fitting;
252;F2;01101010011001000100110100;After fitting;3.0211598999999865
253;P1;01101010011001000100110100;Done;
254;P2;01101010011001000100110100;Done;
255;C;01111010011001000000110100;Creating SARIMAX;
256;F1;01111010011001000000110100;Before fitting;
257;F2;01111010011001000000110100;After fitting;3.1670527999999933
258;P1;01111010011001000000110100;Done;
259;P2;01111010011001000000110100;Done;
260;C;11111010011001000000110100;Creating SARIMAX;
261;F1;11111010011001000000110100;Before fitting;
262;F2;11111010011001000000110100;After fitting;6.961534699999987
263;P1;11111010011001000000110100;Done;
264;P2;11111010011001000000110100;Done;
265;C;01111010011001000000110100;Creating SARIMAX;
266;F1;01111010011001000000110100;Before fitting;
267;F2;01111010011001000000110100;After fitting;3.101349699999986
268;P1;01111010011001000000110100;Done;
269;P2;01111010011001000000110100;Done;
270;C;01111010011001000000110100;Creating SARIMAX;
271;F1;01111010011001000000110100;Before fitting;
272;F2;01111010011001000000110100;After fitting;3.1427364000000466
273;P1;01111010011001000000110100;Done;
274;P2;01111010011001000000110100;Done;
275;C;01101010011001000000110100;Creating SARIMAX;
276;F1;01101010011001000000110100;Before fitting;
277;F2;01101010011001000000110100;After fitting;2.8289431000000036
278;P1;01101010011001000000110100;Done;
279;P2;01101010011001000000110100;Done;
280;C;01111010111001000000110100;Creating SARIMAX;
281;F1;01111010111001000000110100;Before fitting;
282;F2;01111010111001000000110100;After fitting;3.676160399999958
283;P1;01111010111001000000110100;Done;
284;P2;01111010111001000000110100;Done;
285;C;01111010011001010000110100;Creating SARIMAX;
286;F1;01111010011001010000110100;Before fitting;
287;F2;01111010011001010000110100;After fitting;5.771998499999995
288;P1;01111010011001010000110100;Done;
289;P2;01111010011001010000110100;Done;
290;C;01110010011001000100110100;Creating SARIMAX;
291;F1;01110010011001000100110100;Before fitting;
292;F2;01110010011001000100110100;After fitting;3.424320399999999
293;P1;01110010011001000100110100;Done;
294;P2;01110010011001000100110100;Done;
295;C;01111010011001000000110100;Creating SARIMAX;
296;F1;01111010011001000000110100;Before fitting;
297;F2;01111010011001000000110100;After fitting;3.213199099999997
298;P1;01111010011001000000110100;Done;
299;P2;01111010011001000000110100;Done;
300;C;01110010011001000000110100;Creating SARIMAX;
301;F1;01110010011001000000110100;Before fitting;
302;F2;01110010011001000000110100;After fitting;3.0086277999999993
303;P1;01110010011001000000110100;Done;
304;P2;01110010011001000000110100;Done;
305;C;01110010011001000000110100;Creating SARIMAX;
306;F1;01110010011001000000110100;Before fitting;
307;F2;01110010011001000000110100;After fitting;3.1635918999999717
308;P1;01110010011001000000110100;Done;
309;P2;01110010011001000000110100;Done;
310;C;01110010011001000000111110;Creating SARIMAX;
311;F1;01110010011001000000111110;Before fitting;
312;F2;01110010011001000000111110;After fitting;2.211161699999991
313;P1;01110010011001000000111110;Done;
314;P2;01110010011001000000111110;Done;
315;C;01110010011001000000110100;Creating SARIMAX;
316;F1;01110010011001000000110100;Before fitting;
317;F2;01110010011001000000110100;After fitting;3.1929086000000098
318;P1;01110010011001000000110100;Done;
319;P2;01110010011001000000110100;Done;
320;C;01110010011001000001110100;Creating SARIMAX;
321;F1;01110010011001000001110100;Before fitting;
322;F2;01110010011001000001110100;After fitting;3.0958930000000464
323;P1;01110010011001000001110100;Done;
324;P2;01110010011001000001110100;Done;
325;C;01110010011001010000110100;Creating SARIMAX;
326;F1;01110010011001010000110100;Before fitting;
327;F2;01110010011001010000110100;After fitting;5.835986999999989
328;P1;01110010011001010000110100;Done;
329;P2;01110010011001010000110100;Done;
330;C;01110010011001000000110100;Creating SARIMAX;
331;F1;01110010011001000000110100;Before fitting;
332;F2;01110010011001000000110100;After fitting;3.0506168000000002
333;P1;01110010011001000000110100;Done;
334;P2;01110010011001000000110100;Done;
335;C;01110001001001000000110100;Creating SARIMAX;
336;F1;01110001001001000000110100;Before fitting;
337;F2;01110001001001000000110100;After fitting;2.7685257999999635
338;P1;01110001001001000000110100;Done;
339;P2;01110001001001000000110100;Done;
340;C;01110010011001000000110100;Creating SARIMAX;
341;F1;01110010011001000000110100;Before fitting;
342;F2;01110010011001000000110100;After fitting;3.1206211999999596
343;P1;01110010011001000000110100;Done;
344;P2;01110010011001000000110100;Done;
345;C;01110010011001000110110100;Creating SARIMAX;
346;F1;01110010011001000110110100;Before fitting;
347;F2;01110010011001000110110100;After fitting;2.6405765000000088
348;P1;01110010011001000110110100;Done;
349;P2;01110010011001000110110100;Done;
350;C;01110010011001000000110100;Creating SARIMAX;
351;F1;01110010011001000000110100;Before fitting;
352;F2;01110010011001000000110100;After fitting;3.1323819000000412
353;P1;01110010011001000000110100;Done;
354;P2;01110010011001000000110100;Done;
355;C;01110010111001000000110100;Creating SARIMAX;
356;F1;01110010111001000000110100;Before fitting;
357;F2;01110010111001000000110100;After fitting;3.723018800000034
358;P1;01110010111001000000110100;Done;
359;P2;01110010111001000000110100;Done;
360;C;01110010011001000000110100;Creating SARIMAX;
361;F1;01110010011001000000110100;Before fitting;
362;F2;01110010011001000000110100;After fitting;3.17453119999999
363;P1;01110010011001000000110100;Done;
364;P2;01110010011001000000110100;Done;
365;C;01110011011001000000110100;Creating SARIMAX;
366;F1;01110011011001000000110100;Before fitting;
367;F2;01110011011001000000110100;After fitting;3.350163500000008
368;P1;01110011011001000000110100;Done;
369;P2;01110011011001000000110100;Done;
370;C;01110010011001000000110100;Creating SARIMAX;
371;F1;01110010011001000000110100;Before fitting;
372;F2;01110010011001000000110100;After fitting;3.12172240000001
373;P1;01110010011001000000110100;Done;
374;P2;01110010011001000000110100;Done;
375;C;00100010011001000000110100;Creating SARIMAX;
376;F1;00100010011001000000110100;Before fitting;
377;F2;00100010011001000000110100;After fitting;2.8667697000000203
378;P1;00100010011001000000110100;Done;
379;P2;00100010011001000000110100;Done;
380;C;01110010011001000000110110;Creating SARIMAX;
381;F1;01110010011001000000110110;Before fitting;
382;F2;01110010011001000000110110;After fitting;2.244811499999969
383;P1;01110010011001000000110110;Done;
384;P2;01110010011001000000110110;Done;
385;C;01110010011001000001110100;Creating SARIMAX;
386;F1;01110010011001000001110100;Before fitting;
387;F2;01110010011001000001110100;After fitting;3.2129419000000325
388;P1;01110010011001000001110100;Done;
389;P2;01110010011001000001110100;Done;
390;C;01110010011001000000110100;Creating SARIMAX;
391;F1;01110010011001000000110100;Before fitting;
392;F2;01110010011001000000110100;After fitting;3.055991400000039
393;P1;01110010011001000000110100;Done;
394;P2;01110010011001000000110100;Done;
395;C;01110010011011000000110100;Creating SARIMAX;
396;F1;01110010011011000000110100;Before fitting;
397;F2;01110010011011000000110100;After fitting;5.451022200000011
398;P1;01110010011011000000110100;Done;
399;P2;01110010011011000000110100;Done;
400;C;01110010011001000100110100;Creating SARIMAX;
401;F1;01110010011001000100110100;Before fitting;
402;F2;01110010011001000100110100;After fitting;3.4403351999999927
403;P1;01110010011001000100110100;Done;
404;P2;01110010011001000100110100;Done;
405;C;01110000011001000000110100;Creating SARIMAX;
406;F1;01110000011001000000110100;Before fitting;
407;F2;01110000011001000000110100;After fitting;2.0244943999999805
408;P1;01110000011001000000110100;Done;
409;P2;01110000011001000000110100;Done;
410;C;01110010001001000000110100;Creating SARIMAX;
